Pos,Race No,Wave,Flag,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Club,Country
197,26879,C - Group 1,ZA,Sikhulile MAVUSO,06:45:49,06:45:39,Senior,98,Male,178,CITY OF MBOMBELA MARATHON CLUB,South Africa
198,33341,B - Group 1,ZA,Nobert CHIPIKA,06:45:56,06:45:49,Senior,99,Male,179,MORNINGSIDE COUNTRY CLUB ROAD RUNNERS,South Africa
199,26067,A - Group 1,ZA,Mbongeleni Phakamani XIMBA,06:46:08,06:46:04,Senior,100,Male,180,ITUMELENG AC,South Africa
200,58776,B - Group 1,ZA,Khulekani NDLOVU,06:46:12,06:45:58,40-49,69,Male,181,ESHOWE STRIDERS ATHLETICS CLUB,South Africa
201,19389,B - Group 1,ZA,Bongani MTHEMBU,06:46:20,06:46:05,40-49,70,Male,182,ENTSIKA AC,South Africa
202,31762,B - Group 1,ZA,Frans Thabana PHETLA,06:46:27,06:46:11,Senior,101,Male,183,DWARSRIVIER MINE AC,South Africa
203,50684,B - Group 1,ZA,Dumisani DLAMINI,06:46:45,06:46:30,Senior,102,Male,184,NRB HARRIERS,South Africa
204,52762,B - Group 1,ZA,Xolani XULU,06:47:51,06:47:24,Senior,103,Male,185,KWAMASHU AC,South Africa
205,37660,B - Group 1,ZA,Mndeni ZULU,06:47:55,06:47:45,40-49,71,Male,186,HOLLYWOOD AC KZNA,South Africa
206,28723,B - Group 1,NA,Leslie TROLLOPE,06:48:05,06:47:52,Senior,104,Male,187,WINDHOEK HARRIERS,Namibia
207,35931,B - Group 1,ZA,Denus NCHABELENG,06:48:11,06:47:52,40-49,72,Male,188,RUN ALEX ATHLETICS CLUBS CGA,South Africa
208,57508,B - Group 1,ZA,Malefetsane Rulf NKHI,06:48:22,06:48:14,50-59,13,Male,189,MANGAUNG MM AC,South Africa
209,12097,B - Group 1,ZA,Daniel CUNNAMA,06:48:25,06:48:15,40-49,73,Male,190,HARFIELD HARRIERS,South Africa
210,25204,B - Group 1,GB,Matthew LYNAS,06:48:30,06:48:09,50-59,14,Male,191,MACCLESFIELD HARRIERS & AC,United Kingdom
211,46281,B - Group 1,ZA,Bongani MBATHA,06:48:32,06:48:01,Senior,105,Male,192,HOLLYWOOD AC KZNA,South Africa
212,28681,B - Group 1,ZA,Kedibone MASIPA,06:48:36,06:48:24,Senior,106,Male,193,EDENVALE RAND ROAD WARRIORS,South Africa
213,56338,B - Group 1,ZA,Phillip PHAKWAGO,06:48:47,06:48:39,40-49,74,Male,194,PIRATES ROAD RUNNING CLUB,South Africa
214,31266,A - Group 1,ZA,Lucas JANI,06:48:50,06:48:43,40-49,75,Male,195,MAXED ELITE KZN,South Africa
215,20135,B - Group 1,ZA,Shane MCGREGOR,06:48:50,06:48:42,Senior,107,Male,196,BENONI NORTHERNS AC,South Africa
216,18878,B - Group 1,ZA,Dumsani  Sthembiso MAHLANGU,06:49:25,06:49:16,Senior,108,Male,197,WATERFALL AC,South Africa
217,30559,B - Group 1,ZA,Michael MASHIANE,06:49:57,06:49:48,40-49,76,Male,198,EASY EQUITIES BORN 2 RUN CG,South Africa
218,31401,B - Group 1,ZA,Katlego NKWANE,06:50:00,06:49:51,Senior,109,Male,199,BOXER SUPERSTORES AC GN,South Africa
219,29483,A - Group 1,ZA,Timothy MUNZHELELE,06:50:01,06:49:58,Senior,110,Male,200,VENDA ATHLETICS CLUB,South Africa
220,28863,B - Group 1,ZA,Thamsanqa ZONDI,06:50:04,06:49:57,Senior,111,Male,201,HOLLYWOOD AC KZNA,South Africa
221,35245,A - Group 1,ZA,Dikeledi MAJARA,06:50:06,06:50:02,Senior,12,Female,20,NEDBANK A.C.,South Africa
222,33144,B - Group 1,LS,Samuel Sutha MOLEFE,06:50:20,06:49:51,40-49,77,Male,202,MIDSTREAM ATHLETICS CLUB,Lesotho
223,19167,B - Group 1,ZA,Lucky MORAJANE,06:50:44,06:50:39,40-49,78,Male,203,TEAM EISH,South Africa
224,23339,B - Group 1,ZA,Lwandile NGOBE,06:50:46,06:50:37,40-49,79,Male,204,SAPS STRIDERS (BORDER),South Africa
225,43101,B - Group 1,LS,Maphephe PEETE,06:50:58,06:50:44,40-49,80,Male,205,MAXED ELITE LESOTHO,Lesotho
226,35471,B - Group 1,ZA,Hitekani SHIKWAMBANA,06:51:04,06:50:59,Senior,112,Male,206,UNIVERSITY OF LIMPOPO AC,South Africa
227,13952,B - Group 1,ZA,Nick PAWLEY,06:51:06,06:50:53,Senior,113,Male,207,HARFIELD HARRIERS,South Africa
228,40435,A - Group 1,ES,Estefania UNZU RIPOLL,06:51:12,06:51:08,40-49,9,Female,21,CLUB ATLETISMO EDERKI,Spain
229,46262,B - Group 1,ZA,David LONG,06:51:23,06:51:05,40-49,81,Male,208,ATLANTIC AC,South Africa
230,17921,B - Group 1,ZA,Magama NGCOBO,06:51:57,06:51:32,Senior,114,Male,209,SPAR CHESTERVILLE AC,South Africa
231,51301,B - Group 1,XX,Vladimir SAMSONOV,06:52:12,06:52:01,Senior,115,Male,210,KHARITONOV TEAM,ANA
232,45047,B - Group 1,ZA,Modibe Ludwick MAMABOLO,06:52:20,06:52:04,40-49,82,Male,211,UNIVERSITY OF LIMPOPO AC,South Africa
233,9745,A - Group 1,US,Ellie PELL,06:52:21,06:52:14,Senior,13,Female,22,ON,United States of America (the)
234,18107,B - Group 1,ZA,Ben BRIMBLE,06:52:31,06:52:22,Senior,116,Male,212,TOTALSPORTS VOB RUNNING CLUB,South Africa
235,23023,B - Group 1,ZA,David CHAPLIN,06:53:00,06:52:49,Senior,117,Male,213,FAKU CHIEFS AC,South Africa
236,30530,B - Group 1,ZA,Velani NGCOBO,06:53:07,06:52:48,40-49,83,Male,214,HOLLYWOOD AC KZNA,South Africa
237,58020,B - Group 1,ZA,Michael James MCCALLUM,06:53:18,06:52:55,40-49,84,Male,215,DURBAN HIGH SCHOOL OLD BOYS AC,South Africa
238,33219,B - Group 1,ZA,Xolisa NTOMBINI,06:53:25,06:53:01,Senior,118,Male,216,CHILLIE RUNNING CLUB (BORDER),South Africa
239,29815,B - Group 1,ZA,Andries MALETE,06:53:35,06:53:20,40-49,85,Male,217,UNIVERSITY OF LIMPOPO AC,South Africa
240,52568,B - Group 1,ZA,Innocent MAZIBUKO,06:53:37,06:53:25,Senior,119,Male,218,HOLLYWOOD AC KZNA,South Africa
241,53122,B - Group 1,ZA,Maxwell SOBETSHE,06:53:55,06:53:45,40-49,86,Male,219,PINETOWN & DISTRICTS AC,South Africa
242,54445,B - Group 1,ZA,Thomas NGIDI,06:53:55,06:53:47,Senior,120,Male,220,HOLLYWOOD AC KZNA,South Africa
243,46066,B - Group 1,ZA,Modupinyana MDALANA,06:53:58,06:53:53,50-59,15,Male,221,SIYANDA BAKGATLA RUNNING CLUB,South Africa
244,32105,B - Group 1,ZA,Byron BENSON,06:54:01,06:53:44,40-49,87,Male,222,EDENVALE RAND ROAD WARRIORS,South Africa
245,25200,B - Group 1,ZA,Ndodana NDLOVU,06:54:02,06:53:52,40-49,88,Male,223,JEPPE QUONDAM AC,South Africa
246,26754,B - Group 1,ZA,Bhekisisa LUTHULI,06:54:10,06:53:31,40-49,89,Male,224,NRB HARRIERS,South Africa
247,38408,B - Group 1,US,Harsha THIRUMURTHY,06:54:11,06:53:51,40-49,90,Male,225,GREATER PHILADELPHIA TRACK CLUB,United States of America (the)
248,38774,B - Group 1,US,Robert WEBBER,06:54:16,06:54:03,Senior,121,Male,226,,United States of America (the)
249,33699,B - Group 1,ZA,Katiso POSSA,06:54:22,06:54:05,Senior,122,Male,227,HOLLYWOOD AC EPA,South Africa
250,41346,A - Group 1,ZA,Kgotlelelo LEKALAKALA,06:54:26,06:54:20,Senior,123,Male,228,STANDARD BANK AC,South Africa
251,59983,B - Group 1,ZA,Sifiso MASANGO,06:54:26,06:54:19,Senior,124,Male,229,MAMELODI STRIDERS AC,South Africa
252,33118,B - Group 1,ZA,Yandisa MKEME,06:54:29,06:54:04,40-49,91,Male,230,STELLA AC,South Africa
253,15141,B - Group 1,ZA,Cebo Moses MKIZE,06:54:34,06:54:22,40-49,92,Male,231,NEDBANK RUNNING CLUB KZN,South Africa
254,34487,A - Group 1,ZA,Carol SMITH,06:54:44,06:54:41,40-49,10,Female,23,32GI RUNNING CLUB CG,South Africa
255,7970,B - Group 1,ZA,Stephan KOCH,06:54:49,06:54:42,Senior,125,Male,232,EASY EQUITIES BORN 2 RUN GN,South Africa
256,58228,B - Group 1,ZA,Siphesihle Siyabonga VILAKAZI,06:54:56,06:54:42,Senior,126,Male,233,HOLLYWOOD AC KZNA,South Africa
257,53556,A - Group 1,ZA,Never MAHLANGU,06:55:00,06:54:57,Senior,127,Male,234,BETHAL MARATHON KLUB,South Africa
258,45126,B - Group 1,ZW,Titus APITALA,06:55:03,06:54:49,Senior,128,Male,235,#F.A.D.A,Zimbabwe
259,8987,B - Group 1,ZA,Nhlanhla Phillip MTHEMBU,06:55:10,06:54:43,40-49,93,Male,236,HOLLYWOOD AC KZNA,South Africa
260,34573,B - Group 1,ZA,Shenyana NKOMO,06:55:11,06:54:57,40-49,94,Male,237,TEAM VITALITY CLUB CG,South Africa
261,48874,B - Group 1,ZA,Prince MATHUMBU,06:55:15,06:55:03,50-59,16,Male,238,COROBRIK AC,South Africa
262,46376,B - Group 1,SZ,Maxwell NZIMA,06:55:24,06:55:05,Senior,129,Male,239,ZITHANDE ATHLETIC CLUB,Eswatini
263,20987,A - Group 1,ZA,Thomas NDLOVU,06:55:29,06:55:21,40-49,95,Male,240,HOLLYWOOD AC AGN,South Africa
264,44926,B - Group 1,UG,Cherotich COLLINS,06:55:36,06:55:14,Senior,130,Male,241,TEAM MATOOKE,Uganda
265,11646,B - Group 1,ZA,Billy MAKATE,06:55:36,06:55:20,40-49,96,Male,242,ARCADIA RUNNING CLUB,South Africa
266,30495,B - Group 1,ZA,Mkozeni Michael MKHAMBULE,06:55:39,06:54:45,50-59,17,Male,243,HOLLYWOOD AC KZNA,South Africa
267,29605,B - Group 1,ZA,Xolani NDABA,06:55:44,06:55:34,50-59,18,Male,244,SAPS KZN AC,South Africa
268,49948,B - Group 1,ZA,Abongile TSHIPILE,06:55:45,06:55:41,Senior,131,Male,245,HOLLYWOOD AC KZNA,South Africa
269,19960,B - Group 1,ZA,Chris SCHUTTE,06:55:46,06:55:26,Senior,132,Male,246,NEDBANK RUNNING CLUB MPU,South Africa
270,40050,B - Group 1,GB,Adam BEAUMONT,06:55:52,06:55:27,Senior,133,Male,247,BISHOPS STORTFORD RUNNING CLUB,United Kingdom
271,29389,B - Group 1,ZA,Patrick WRIGHT,06:55:54,06:55:43,Senior,134,Male,248,FAKU CHIEFS AC,South Africa
272,29050,B - Group 1,ZA,Siyanda Sylvester MNYANDU,06:56:07,06:55:53,40-49,97,Male,249,HOLLYWOOD AC KZNA,South Africa
273,17346,B - Group 1,ZA,Chad TOOHEY,06:56:10,06:55:48,Senior,135,Male,250,SAVE ORION AC,South Africa
274,18797,B - Group 1,ZA,Shellboy MAVUSO,06:56:13,06:55:50,40-49,98,Male,251,SASOL MARATHON CLUB,South Africa
275,34329,A - Group 1,ZA,Moris MAIGA,06:56:13,06:56:05,50-59,19,Male,252,,South Africa
276,28133,B - Group 1,ZA,Thapelo LESENYANE,06:56:19,06:56:07,40-49,99,Male,253,RAND AC,South Africa
277,7880,B - Group 1,ZA,Setjhaba KOLOTI,06:56:39,06:56:25,40-49,100,Male,254,FAT CATS AC CG,South Africa
278,28725,B - Group 1,ZA,Thanda SILOANE,06:56:49,06:56:44,40-49,101,Male,255,MAXED ELITE CG,South Africa
279,40341,B - Group 1,ZA,Dean JOFFE,06:56:52,06:56:36,Senior,136,Male,256,MAVERICK ATHLETIC CLUB,South Africa
280,34169,A - Group 1,US,Addison SMITH,06:56:57,06:56:52,Senior,137,Male,257,NEDBANK INTERNATIONAL,United States of America (the)
281,54346,B - Group 1,ZA,Nathi ZUNGU,06:56:58,06:56:50,Senior,138,Male,258,NRB HARRIERS,South Africa
282,17351,B - Group 1,ZA,Bongani QONGQO,06:57:02,06:56:51,40-49,102,Male,259,ENTSIKA AC,South Africa
283,40150,B - Group 1,CA,Reinier PAAUWE,06:57:25,06:57:13,40-49,103,Male,260,WE RUN THE WORLD COACHING,Canada
284,11436,B - Group 1,ZA,Kwasi ABABIO,06:57:42,06:57:33,40-49,104,Male,261,BEDFORDVIEW ATHLETICS,South Africa
285,43297,B - Group 1,ZA,Nathi DLAMINI,06:57:43,06:57:06,40-49,105,Male,262,SESHENG AC,South Africa
286,26486,B - Group 1,ZA,Innocent THAMENG,06:57:43,06:57:08,40-49,106,Male,263,SESHENG AC,South Africa
287,46083,B - Group 1,ZA,Siphiwe HLOPHE,06:57:44,06:57:39,Senior,139,Male,264,KNYSNA MARATHON CLUB,South Africa
288,55878,A - Group 1,ZA,Helena JOUBERT,06:57:54,06:57:51,40-49,11,Female,24,SASOL MARATHON CLUB,South Africa
289,36850,A - Group 1,ZA,Maretha SMIT,06:57:57,06:57:54,Senior,14,Female,25,NEDBANK RUNNING CLUB WP,South Africa
290,39376,B - Group 1,ZA,Sphesihle MAGWANYANA,06:58:06,06:58:00,Senior,140,Male,265,HOLLYWOOD AC KZNA,South Africa
291,47279,B - Group 1,SZ,Thokozani Tk DLAMINI,06:58:09,06:57:46,Senior,141,Male,266,CITY OF MBOMBELA MARATHON CLUB,Eswatini
292,40754,B - Group 1,ZA,Siyabonga Khulekani NGWENYA,06:58:11,06:57:51,Senior,142,Male,267,ZAKHELE RUNNING CLUB,South Africa
293,57246,B - Group 1,ZA,Sam MUNYAI,06:58:18,06:58:04,40-49,107,Male,268,NEDBANK RUNNING CLUB,South Africa
294,41876,B - Group 1,ZA,Nyawo SIYABONGA,06:58:22,06:58:22,40-49,108,Male,269,CORRECTIONAL SERVICES KZN,South Africa
295,49558,B - Group 1,ZA,Thabiso LETHABANE,06:58:27,06:58:19,Senior,143,Male,270,KOPANO ROOTS AC,South Africa
296,30099,B - Group 1,ZA,Mpho LEBESE,06:58:36,06:58:31,40-49,109,Male,271,DIEPKLOOF AC,South Africa
297,46804,B - Group 1,ZA,Vusumuzi ELIAS,06:58:48,06:58:22,Senior,144,Male,272,HOLLYWOOD AC KZNA,South Africa
298,46661,B - Group 1,ZA,Elias MATLOU,06:58:55,06:58:37,Senior,145,Male,273,DIEPSLOOT AC,South Africa
299,56989,B - Group 1,ET,Esayas Yainshet TESFAMARIAM,06:58:55,06:58:38,40-49,110,Male,274,WATERFALL,Ethiopia
300,52168,B - Group 1,ZA,Bernado FREDERICKS,06:58:57,06:58:47,Senior,146,Male,275,OUTENIQUA HARRIERS,South Africa
301,16186,B - Group 1,ZA,Reginald POOPEDI,06:59:10,06:58:56,40-49,111,Male,276,ALPHA CENTURION RUNNERS & WALKERS,South Africa
302,43114,B - Group 1,ZA,Phumlani SIWELA,06:59:10,06:58:55,Senior,147,Male,277,RUN WALK FOR LIFE NWN,South Africa
303,45589,B - Group 1,ZA,Wiseman MBATHA,06:59:12,06:58:53,Senior,148,Male,278,MAXED ELITE KZN,South Africa
304,36328,B - Group 1,ZA,Professor NCUBE,06:59:34,06:59:24,Senior,149,Male,279,BEDFORDVIEW ATHLETICS,South Africa
305,29016,B - Group 1,KE,Amos RONO,06:59:50,06:59:34,Senior,150,Male,280,RUNFIT,Kenya
306,45033,C - Group 1,ZA,Bongani ZWANE,06:59:50,06:59:15,40-49,112,Male,281,DUNDEE ATHLETICS CLUB,South Africa
307,55149,B - Group 1,ZA,Mark CRAWFORD,06:59:59,06:59:42,40-49,113,Male,282,OXFORD STRIDERS,South Africa
308,18002,B - Group 1,ZA,Philani MAKHOBA,07:00:07,07:00:02,40-49,114,Male,283,HOLLYWOOD AC CGA,South Africa
309,49808,B - Group 1,ZA,Sibusiso MBAMBO,07:00:27,07:00:10,Senior,151,Male,284,HOLLYWOOD AC KZNA,South Africa
310,47013,B - Group 1,ZA,Calvin Mothakhi MALATJI,07:00:36,07:00:22,Senior,152,Male,285,ZWAKALA AC,South Africa
311,25122,A - Group 1,ZA,Menzi MTOLO,07:00:53,07:00:47,Senior,153,Male,286,XCEL RUNNING CLUB,South Africa
312,42555,B - Group 1,ZA,Dumisani MKWANAZI,07:00:54,07:00:43,Senior,154,Male,287,HOLLYWOOD AC KZNA,South Africa
313,52798,B - Group 1,ZA,Lihle MPONGOMA,07:00:54,07:00:29,Senior,155,Male,288,NEDBANK RUNNING CLUB BOR,South Africa
314,41307,B - Group 1,ZA,Masonwabe BOSIKI,07:01:05,07:00:48,Senior,156,Male,289,CORRECTIONAL SERVICES WP,South Africa
315,47565,C - Group 1,ZA,Papi MOLEPO,07:01:09,07:00:26,Senior,157,Male,290,SANDF WP,South Africa
316,20497,B - Group 1,ZA,Gerald Charles BAMBILO,07:01:09,07:01:02,40-49,115,Male,291,HOLLYWOOD AC CGA,South Africa
317,10606,B - Group 1,ZA,Cyril Musa MSIMANGO,07:01:12,07:00:58,40-49,116,Male,292,HOLLYWOOD AC KZNA,South Africa
318,44713,B - Group 1,ZA,Eric SELLO,07:01:16,07:00:51,Senior,158,Male,293,PEAK PERFORMANCE AC CG,South Africa
319,20557,B - Group 1,ZA,Mthandeni NENE,07:01:17,07:01:12,40-49,117,Male,294,NEDBANK CLUB KWA-ZULU NATAL,South Africa
320,13137,B - Group 1,ZA,Maharaswa MOFOKENG,07:01:21,07:01:04,40-49,118,Male,295,CARLTON AC,South Africa
321,52631,A - Group 1,ZA,Slindile CHILI,07:01:22,07:01:17,Senior,15,Female,26,NEDBANK RUNNING CLUB GN,South Africa
322,27207,B - Group 1,ZA,Lesley CHIFUMBI,07:01:41,07:01:25,Senior,159,Male,296,IMPALA MARATHON CLUB NWN,South Africa
323,56570,B - Group 1,ZA,Nkosithandile Sanele MVELASE,07:01:41,07:01:16,40-49,119,Male,297,DURBAN AC,South Africa
324,6011,B - Group 1,AU,James RIGGS,07:01:53,07:01:34,Senior,160,Male,298,,Australia
325,56836,B - Group 1,ZA,Thamsanqa TOMI,07:02:03,07:01:55,Senior,161,Male,299,SOUTH AFRICAN POLICE SERVICE NWN,South Africa
326,58741,B - Group 1,ZA,Calvin RIBA,07:02:05,07:01:58,Senior,162,Male,300,CITY OF MBOMBELA MARATHON CLUB,South Africa
327,44756,B - Group 1,ZA,Sikhumbuzo NHLENGETHWA,07:02:07,07:02:01,Senior,163,Male,301,HOLLYWOOD AC KZNA,South Africa
328,47585,B - Group 1,ZA,Andile MTHETHWA,07:02:14,07:01:56,Senior,164,Male,302,HOLLYWOOD AC KZNA,South Africa
329,20914,B - Group 1,ZM,Winston MWALE,07:02:20,07:02:13,Senior,165,Male,303,MUKUBA FITNESS SQUAD,Zambia
330,56198,B - Group 1,ZA,Nkateko NDLALA,07:02:29,07:02:24,Senior,166,Male,304,UNIVERSITY OF LIMPOPO AC,South Africa
331,23283,B - Group 1,ZA,Knight Floyd KRUGER,07:02:38,07:02:16,40-49,120,Male,305,MOGALE CITIZENS AC,South Africa
332,28335,B - Group 1,ZA,Muzi NDLELA,07:02:42,07:02:28,Senior,167,Male,306,HOLLYWOOD AC KZNA,South Africa
333,21417,B - Group 1,ZA,Mabuda RAUDZINGANA,07:02:43,07:02:33,Senior,168,Male,307,PIRATES ROAD RUNNING CLUB,South Africa
334,55000,C - Group 1,ZA,Jean-Marc LARCHE,07:02:53,07:02:05,40-49,121,Male,308,DOLPHIN COAST STRIDERS,South Africa
335,34534,B - Group 1,ZA,Jaco EBERTSOHN,07:02:57,07:02:44,Senior,169,Male,309,BLOEMFONTEIN STRIDERS,South Africa
336,57996,B - Group 1,ZA,Tshinyadzo MPHEPHU,07:03:00,07:02:50,40-49,122,Male,310,JUST RUNNING AC,South Africa
337,34333,B - Group 1,ZA,Vukani MSANI,07:03:09,07:02:50,40-49,123,Male,311,HILLCREST VILLAGERS AC,South Africa
338,689,B - Group 1,ZA,Stephen CAELERS,07:03:16,07:03:10,Senior,170,Male,312,BEDFORDVIEW ATHLETICS,South Africa
339,34259,B - Group 1,IN,Devarao CHOUDHARI,07:03:22,07:03:08,Senior,171,Male,313,SOLO RUNNER,India
340,48615,D - Group 1,ZA,Daniel RACHERE,07:03:27,07:02:28,40-49,124,Male,314,ARCADIA RUNNING CLUB,South Africa
341,47481,B - Group 1,ZA,Mcebiseni MSEZANE,07:03:36,07:03:27,Senior,172,Male,315,INKAMANA AC,South Africa
342,48347,A - Group 1,ZA,Sinobom MZUKELA,07:03:45,07:03:40,Senior,173,Male,316,SIBANYE STILLWATER AC,South Africa
343,51192,B - Group 1,ZA,Joel NKADIMENG,07:03:46,07:03:38,40-49,125,Male,317,ARDAGH AC,South Africa
344,45015,A - Group 1,ZA,Lovers HLATSHWAYO,07:03:57,07:03:52,40-49,126,Male,318,NEDBANK RUNNING CLUB MPU,South Africa
345,49800,A - Group 1,FR,Guillaume RUEL,07:03:58,07:03:55,Senior,174,Male,319,MAXED ELITE INTERNATIONAL,France
346,7600,B - Group 1,ZA,Victor Lindani BUSO,07:04:07,07:03:46,40-49,127,Male,320,TSUTSUMANI AC,South Africa
347,12351,B - Group 1,ZA,Nicolas LE ROUX,07:04:08,07:03:39,40-49,128,Male,321,DUBAI CREEK STRIDERS,South Africa
348,49885,A - Group 1,XX,Anna TANGOVA,07:04:09,07:04:05,Senior,16,Female,27,MAXED ELITE INTERNATIONAL,ANA
349,5757,A - Group 1,ZA,Melinda JANSEN VAN VUUREN,07:04:14,07:04:10,Senior,17,Female,28,HOLLYWOOD AC CGA,South Africa
350,57736,B - Group 1,ZA,Tumelo Magere Sedibe MALAPANE,07:04:17,07:04:02,40-49,129,Male,322,SAPG AC,South Africa
351,57646,B - Group 1,ZA,Joel MPURU,07:04:22,07:04:11,40-49,130,Male,323,MARULA PLATINIUM AC,South Africa
352,33297,B - Group 1,BW,Emmanuel PHITLHO,07:04:22,07:03:55,Senior,175,Male,324,UNTAMED RUNNERS,Botswana
353,55292,C - Group 1,ZA,Ilse MARAIS,07:04:27,07:03:50,40-49,12,Female,29,NEDBANK RUNNING CLUB CG,South Africa
354,15959,B - Group 1,ZA,Somara MASHAMAITE,07:04:29,07:04:14,40-49,131,Male,325,HOLLYWOOD AC CGA,South Africa
355,49107,B - Group 1,ZA,Maoto MADUANA,07:04:33,07:04:20,40-49,132,Male,326,HOLLYWOOD AC CGA,South Africa
356,56386,B - Group 1,XX,Aleksandr ZHIVOV,07:04:34,07:04:17,40-49,133,Male,327,FARNOSOV TEAM,ANA
357,51617,A - Group 1,ZA,Carla JOHNSON,07:04:34,07:04:30,Senior,18,Female,30,ASICS AC WP,South Africa
358,34696,B - Group 1,ZA,Dumisani DOSI,07:04:36,07:04:23,40-49,134,Male,328,SOUTH AFRICAN POLICE SERVICE WP,South Africa
359,48338,B - Group 1,ZA,Steven MASINGE,07:04:42,07:04:28,40-49,135,Male,329,MALAMULELE AC,South Africa
360,47093,B - Group 1,ZA,Athifhelimbilu MAFUKADUVHA,07:04:42,07:04:31,40-49,136,Male,330,WATERFALL AC,South Africa
361,32274,B - Group 1,ZA,Kgwadi MOKWENA,07:04:55,07:04:28,40-49,137,Male,331,ZERO ONE FIVE RUNNING CLUB,South Africa
362,53631,C - Group 1,ZA,Craig VILJOEN,07:04:57,07:04:22,Senior,176,Male,332,FAKU CHIEFS AC,South Africa
363,33526,B - Group 1,ZA,Siyabulela MQWEBI,07:04:58,07:04:52,Senior,177,Male,333,HOLLYWOOD AC KZNA,South Africa
364,41345,B - Group 1,ZA,Sabelo COKA,07:05:00,07:04:48,Senior,178,Male,334,HOLLYWOOD AC KZNA,South Africa
365,8107,B - Group 1,ZA,Ignatius GOREJENA,07:05:05,07:04:55,40-49,138,Male,335,WESTVILLE AC,South Africa
366,43671,B - Group 1,ZA,Samuel MANDLAZI,07:05:10,07:05:00,40-49,139,Male,336,OUTENIQUA HARRIERS,South Africa
367,49433,A - Group 1,GB,Kate MURRELL,07:05:10,07:05:07,40-49,13,Female,31,NORWICH ROAD RUNNERS,United Kingdom
368,37908,B - Group 1,ZA,Sibusiso DUBE,07:05:23,07:05:13,Senior,179,Male,337,HOLLYWOOD AC KZNA,South Africa
369,17170,B - Group 1,ZA,Julient MGIBA,07:05:29,07:05:18,Senior,180,Male,338,PMC ATHLETIC CLUB,South Africa
370,58248,B - Group 1,ZA,Sfiso CHILI,07:05:33,07:05:25,Senior,181,Male,339,HOLLYWOOD AC KZNA,South Africa
371,35960,B - Group 1,ZA,Simiso SKHAKAHANE,07:05:46,07:05:33,Senior,182,Male,340,HOLLYWOOD AC KZNA,South Africa
372,31338,B - Group 1,ZA,Diketso Johannes RADEBE,07:05:53,07:05:39,40-49,140,Male,341,KLERKSDORP MARATHON CLUB,South Africa
373,21518,B - Group 1,ZA,Sifiso BUTHELEZI,07:06:02,07:05:43,Senior,183,Male,342,GALLOPERS AC,South Africa
374,54872,B - Group 1,ZA,Sthembiso GCABA,07:06:03,07:05:57,40-49,141,Male,343,AZANIA AC,South Africa
375,35425,B - Group 1,ZA,Neo LEANYA,07:06:10,07:05:49,Senior,184,Male,344,CENTURY CITY AC,South Africa
376,45347,B - Group 1,GB,Eric DOL,07:06:15,07:05:54,Senior,185,Male,345,HERNE HILL HARRIERS,United Kingdom
377,28286,B - Group 1,ZA,Mondli NGCOBO,07:06:17,07:06:06,40-49,142,Male,346,MAXED ELITE KZN,South Africa
378,34996,C - Group 1,ZA,Vincent RADEBE,07:06:23,07:05:53,Senior,186,Male,347,HOLLYWOOD AC KZNA,South Africa
379,59409,B - Group 1,MW,Felix BANDA,07:06:24,07:06:12,Senior,187,Male,348,BOKSBURG AC,Malawi
380,44063,B - Group 1,US,Michael TORRES,07:06:32,07:06:18,40-49,143,Male,349,,United States of America (the)
381,30628,B - Group 1,ZA,Shaun OSBURN,07:06:34,07:06:26,40-49,144,Male,350,RUN ZONE AC,South Africa
382,41103,B - Group 1,ZA,Excellent Minenhle BHENGU,07:06:45,07:06:35,Senior,188,Male,351,HOLLYWOOD AC KZNA,South Africa
383,38575,B - Group 1,ZA,Stuart RAWLINSON,07:06:50,07:06:35,40-49,145,Male,352,FAKU CHIEFS AC,South Africa
384,52929,B - Group 1,ZA,Daniel JENNER,07:06:51,07:06:37,40-49,146,Male,353,RUN ZONE AC,South Africa
385,38449,A - Group 1,ZA,Yolande MACLEAN,07:07:00,07:06:56,40-49,14,Female,32,DIE VUILHONDE AC,South Africa
386,59919,B - Group 1,ZA,Thandanani NDLOVU,07:07:07,07:06:41,Senior,189,Male,354,STELLA AC,South Africa
387,46722,B - Group 1,XX,Arkadii PRYTKOV,07:07:19,07:06:56,40-49,147,Male,355,PARSEC,ANA
388,35304,C - Group 1,ZA,Mlungisi Ennocent NKOSI,07:07:34,07:06:54,Senior,190,Male,356,LAKE UMUZI SECUNDA MARATHON CLUB,South Africa
389,15463,B - Group 1,ZA,Siyabonga NDLELA,07:07:35,07:07:16,40-49,148,Male,357,SAPS KZN AC,South Africa
390,28489,B - Group 1,ZA,Thabani NGCOBO,07:07:45,07:07:29,Senior,191,Male,358,INKAMANA AC,South Africa
391,24307,B - Group 1,ZA,Simthembile SIBEZANI,07:07:48,07:07:25,40-49,149,Male,359,HOLLYWOOD AC KZNA,South Africa
392,58159,B - Group 1,ZA,Mlungiselwa MHLAMVU,07:08:10,07:07:57,Senior,192,Male,360,HOLLYWOOD AC KZNA,South Africa
393,47920,A - Group 1,ZA,Ncedisani PHUNGULA,07:08:10,07:08:04,Senior,193,Male,361,NEDBANK CLUB KWA-ZULU NATAL,South Africa
394,55674,B - Group 1,ZA,Owageng PELESA,07:08:20,07:08:06,Senior,194,Male,362,KLERKSDORP MARATHON CLUB,South Africa
